"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"total RNA-seq from sample MUC23184_S2",0.0384112452955824,0.0243972089711628,0,0.937191545733255,0,0,0
"total RNA-seq from sample MUC23186_S4",0.707215445601035,0.292784554398965,0,0,0,0,0
"total RNA-seq from sample MUC23188_S6",0.236321417725755,0.763678582274245,0,0,0,0,0
"total RNA-seq from sample MUC23212_S30",0,0.0812140004467892,0,0.918785999553211,0,0,0
"total RNA-seq from sample MUC23215_S33",0,0,0,0,1,0,0
"total RNA-seq from sample MUC23216_S34",0,0,0.298268140369432,0,0,0.701731859630568,0
"total RNA-seq from sample MUC23219_S37",0,0.125497556466562,0,0,0.617291201821194,0.257211241712244,0
"total RNA-seq from sample MUC23226_S44",0,0,0,0,0.131470615681602,0.699737777003986,0.168791607314412
"total RNA-seq from sample MUC23231_S49",0,1,0,0,0,0,0
"total RNA-seq from sample MUC23235_S53",0.0659938568382889,0,0,0,0.934006143161711,0,0
"total RNA-seq from sample MUC23248_S66",0,1,0,0,0,0,0
"total RNA-seq from sample MUC23250_S68",0,0.99083649705516,0,0,0.0091635029448399,0,0
"total RNA-seq from sample MUC23252_S70",1,0,0,0,0,0,0
"total RNA-seq from sample MUC23256_S74",0,0.939091867159364,0,0.0249423863895312,0.0359657464511045,0,0
"total RNA-seq from sample MUC23257_S75",0.13403656541155,0.543706455477853,0.117569291872158,0,0,0.0203068915630272,0.184380795675412
"total RNA-seq from sample MUC23260_S78",0,0,0,0,1,0,0
"total RNA-seq from sample MUC23261_S79",0,0,0.114535294786974,0,0.308774250582489,0.515849191366203,0.0608412632643344
"total RNA-seq from sample MUC23268_S86",0,0.216248146142637,0.0567258485293567,0,0,0,0.727026005328006
"total RNA-seq from sample MUC23278_S96",0,0.398043518441174,0.403671103508685,0,0,0.0101149509661923,0.188170427083948
"total RNA-seq from sample MUC23281_S99",0,0,0.820965420238604,0,0,0.179034579761396,0
"total RNA-seq from sample MUC23294_S112",0,0,0.454092756625704,0,0,0.545907243374297,0
"total RNA-seq from sample MUC23310_S128",0.13475605951492,0,0,0,0.532067134830582,0.307716886207915,0.0254599194465825
"total RNA-seq from sample MUC23319_S137",0,1,0,0,0,0,0
"total RNA-seq from sample MUC23320_S138",0,0,0.427476169758462,0,0.572523830241538,0,0
"total RNA-seq from sample MUC23321_S139",0,0,0,0,1,0,0
"total RNA-seq from sample MUC23324_S142",0.236232892489257,0,0,0,0.281972886593497,0,0.481794220917246
"total RNA-seq from sample MUC23328_S146",0,0.0421446199962264,0.0857364556918527,0,0,0.872118924311921,0
"total RNA-seq from sample MUC23329_S147",0.394381089165872,0.513733885307639,0.0918850255264888,0,0,0,0
"total RNA-seq from sample MUC23333_S151",0.440278138942194,0.559721861057806,0,0,0,0,0
"total RNA-seq from sample MUC23341_S159",0,0,0,0.0926044702326397,0,0.90739552976736,0
"total RNA-seq from sample MUC23343_S161",0,0,0.281257265862481,0,0.483573395819799,0.23516933831772,0
"total RNA-seq from sample MUC23344_S162",0,0,0,0,1,0,0
"total RNA-seq from sample MUC23368_S186",0.471376604367593,0,0,0,0.528623395632407,0,0
"total RNA-seq from sample MUC23374_S192",0.337215220873314,0.655264597642387,0,0.00752018148429882,0,0,0
"total RNA-seq from sample MUC23376_S194",0,0,0.221337072745745,0,0.650499685670747,0.128163241583508,0
"total RNA-seq from sample MUC23378_S196",0.581102245843432,0.258605177240535,0.160292576916033,0,0,0,0
"total RNA-seq from sample MUC23382_S200",0.0791256601001185,0,0,0,0.920874339899882,0,0
"total RNA-seq from sample MUC23384_S202",0.348851169210771,0.65114883078923,0,0,0,0,0
"total RNA-seq from sample MUC23386_S204",0.265787432258454,0,0.327057691268669,0,0.060106914581803,0.347047961891074,0
