"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"total RNA-seq from sample MUC23184_S2",0,0.0365007415765223,0,0,0.941726369852182,0.0217728885712961,0
"total RNA-seq from sample MUC23186_S4",0.197852663006331,0.195273140485227,0.128262706447357,0,0.288236919108376,0.175453405121604,0.0149211658311053
"total RNA-seq from sample MUC23188_S6",0.118289319686807,0.253355189319724,0.102567862367603,0.0141461783648875,0.25277403376108,0.188912922303812,0.0699544941960872
"total RNA-seq from sample MUC23212_S30",0.107656475319916,0.241036995998279,0.0700856986529991,0.0434712420431538,0.298833942456134,0.164159622305513,0.0747560232240052
"total RNA-seq from sample MUC23215_S33",0,0,0,0,1,0,0
"total RNA-seq from sample MUC23216_S34",0.16187600092973,0.169636156037432,0.15002913366786,0,0.20981239934231,0.308646310022668,0
"total RNA-seq from sample MUC23219_S37",0,0,0,0,0.773276253592277,0.226723746407723,0
"total RNA-seq from sample MUC23226_S44",0.0855147650166284,0.116768294961575,0.111931004076487,3.25901716022207e-16,0.252388511042219,0.304130144580302,0.129267280322789
"total RNA-seq from sample MUC23231_S49",0.0376836642635895,0.284481432618708,0.080385352932473,0,0.381631079705253,0.209364879528217,0.00645359095175896
"total RNA-seq from sample MUC23235_S53",0,1.53433831066601e-15,0,0,0.999999999999995,3.12418929616144e-15,0
"total RNA-seq from sample MUC23248_S66",0,0.0535633261391271,0,0,0.783971446661002,0.16246522719987,0
"total RNA-seq from sample MUC23250_S68",0,0.124164871539772,0,0,0.875835128460226,1.61083526750039e-15,0
"total RNA-seq from sample MUC23252_S70",0.401885503422712,0.146367976300644,0.0628378741331733,0.00938169665128895,0.266807112401613,0.0886896683165978,0.024030168773972
"total RNA-seq from sample MUC23256_S74",0.095716827680991,0.283418467704771,0.0792847580934815,0.00185654325803863,0.349102724665145,0.118439126789713,0.0721815518078593
"total RNA-seq from sample MUC23257_S75",0.0873359755908421,0.355846373307556,0.105643156456877,0,0.140350915766683,0.210399318719767,0.100424260158274
"total RNA-seq from sample MUC23260_S78",0,0,0,0,1,0,0
"total RNA-seq from sample MUC23261_S79",0.093480210739949,0.105823883891876,0.12627404110787,0.0192836162365697,0.249559851792289,0.280910716599468,0.124667679631979
"total RNA-seq from sample MUC23268_S86",0.10393090051734,0.240569711740512,0.100376409718281,0.0407799950099005,0.162286445423468,0.158135139016911,0.193921398573588
"total RNA-seq from sample MUC23278_S96",0,0.228851688387636,0.130732085993082,0,0.417660224211197,0.222756001408085,4.14832816750553e-16
"total RNA-seq from sample MUC23281_S99",0.0466765910783672,0.145132687778842,0.251471000454217,0,0.329606765195228,0.227112955493345,0
"total RNA-seq from sample MUC23294_S112",0.118418449472185,0.165866290320342,0.135757135852953,0.099722709740185,0.178894677043365,0.196962883518388,0.104377854052582
"total RNA-seq from sample MUC23310_S128",0.114716290816324,0.148649790027816,0.0928203845981422,0.0685264954585613,0.288089600667265,0.188608621175524,0.098588817256367
"total RNA-seq from sample MUC23319_S137",0.106211570821536,0.276911868430458,0.114916425261413,0.0457431874665829,0.162658549672466,0.189498712242157,0.104059686105387
"total RNA-seq from sample MUC23320_S138",0,0,0,0,0.728796746064492,0.271203253935508,0
"total RNA-seq from sample MUC23321_S139",0.023864430554202,0.0898183294587334,0.0228355050017691,0,0.768325116564683,0.0523809266823304,0.0427756917382818
"total RNA-seq from sample MUC23324_S142",0.106940206936695,0.176718925838989,0.0991145239272854,0.0436725493969344,0.2740271909689,0.171340542139259,0.128186060791937
"total RNA-seq from sample MUC23328_S146",0.115187253470587,0.137996113607318,0.157988029408813,0,0.344038479585794,0.244790123927487,0
"total RNA-seq from sample MUC23329_S147",0.124600831733276,0.331507580020187,0.120198490165167,0.0123213357284195,0.2370318035681,0.109830051834334,0.0645099069505168
"total RNA-seq from sample MUC23333_S151",0.146123277474082,0.216588712097398,0.11489261606454,0.0745975155435259,0.162781248219535,0.191985178083491,0.0930314525174287
"total RNA-seq from sample MUC23341_S159",0.120762303452226,0.125066304024836,0.123070404047365,2.1485586243835e-17,0.273599706868553,0.292066938187461,0.0654343434195591
"total RNA-seq from sample MUC23343_S161",0.111070679097359,0.133287503992794,0.178386620824169,5.28933844914569e-16,0.3645574682731,0.212697727812577,5.428090259363e-16
"total RNA-seq from sample MUC23344_S162",3.75822312217196e-15,0,0,0,0.885679580867497,0.114320419132499,0
"total RNA-seq from sample MUC23368_S186",0.142879502719356,0.186293444017905,0.117422302370372,0,0.337192893392708,0.156510305716578,0.0597015517830813
"total RNA-seq from sample MUC23374_S192",0.120847458082789,0.254912671287269,0.0854436265712315,0.0413285502565201,0.287577243091923,0.135011365663852,0.074879085046415
"total RNA-seq from sample MUC23376_S194",0.0972666663088214,0.16165506952619,0.132799943563062,0.0834265735155001,0.262648131004498,0.171635358756604,0.0905682573253247
"total RNA-seq from sample MUC23378_S196",0.143263398530366,0.187872584116833,0.131905524411807,0.0579369681540914,0.243879063953966,0.152779585411471,0.082362875421466
"total RNA-seq from sample MUC23382_S200",0.121397007077696,0.163017980205578,0.105433432017469,0.0728593241018837,0.27204962305765,0.182284901854413,0.08295773168531
"total RNA-seq from sample MUC23384_S202",0.129127779434074,0.284679750486836,0.0930934613576458,0.0361746319057181,0.231324894920788,0.151050493092412,0.0745489888025262
