"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"PBMC RNA, control 1",0,0.0029545347479347,0.323869604982385,0,0,0.67317586026968,0
"PBMC RNA, control 10",0.463971845239741,0,0,0,0,0,0.536028154760259
"PBMC RNA, control 11",0.65414483494999,0.341549305121583,0,0,0.00430585992842683,0,0
"PBMC RNA, control 12",0.65414483494999,0.341549305121583,0,0,0.00430585992842683,0,0
"PBMC RNA, control 2",0.124394278191505,0,0.0618472514002538,0,0.212393685821747,0.601364784586494,0
"PBMC RNA, control 3",0,0.350856173258553,0.291865921430095,0,0,0.357277905311352,0
"PBMC RNA, control 4",0.529352887184129,0.426828766712625,0.0438183461032454,0,0,0,0
"PBMC RNA, control 5",0.20322680330967,0.147122773975484,0.211431917474432,0.438218505240414,0,0,0
"PBMC RNA, control 6",0,0.22784590743475,0.714039127503143,0,0,0.0581149650621063,0
"PBMC RNA, control 7",0.339680045918371,0.0552965640155019,0,0,0,0.424643794384426,0.180379595681701
"PBMC RNA, control 8",0,0,0.0686711760143555,0,0.237859772499485,0.247493884289494,0.445975167196665
"PBMC RNA, control 9",0.420219214205994,0.00543520472106647,0.076191365269561,0,0.02039799009195,0,0.477756225711429
"PBMC RNA, ecf 1, 1st visit",0,0,0,1,0,0,0
"PBMC RNA, ecf 1, 2nd visit",0,0,0,1,0,0,0
"PBMC RNA, ecf 2, 1st visit",0,0.773827033444122,0,0.152619482106248,0.0735534844496304,0,0
"PBMC RNA, ecf 2, 2nd visit",0,0.692946208839112,0,0,0,0.307053791160889,0
"PBMC RNA, ecf 3, 1st visit",0,0.476397147439368,0,0,0.153395760329861,0.370207092230771,0
"PBMC RNA, ecf 3, 2nd visit",0,0.128953883211122,0,0.820916318446231,0,0.0501297983426472,0
"PBMC RNA, ecf 4, 1st visit",0,0,0.0756228636691443,0.0881258463875604,0,0.520358236567595,0.315893053375701
"PBMC RNA, ecf 4, 2nd visit",0.660585442553935,0.150410432847271,0,0.0489748808822942,0,0.1400292437165,0
"PBMC RNA, ecf 5, 2nd visit",0.180263329506679,0,0,0,0,0.0212426855467087,0.798493984946612
"PBMC RNA, kat 1, 1st visit",0,0,0,0,1,0,0
"PBMC RNA, kat 1, 2nd visit",0.101925036514928,0.205560895523342,0.109014744428046,0,0.196060935206115,0,0.38743838832757
"PBMC RNA, kat 2, 1st visit",0,0.157179208950844,0.199602332662155,0.0739560600653483,0.569262398321653,0,0
"PBMC RNA, kat 2, 2nd visit",0.526566972778258,0,0,0.188599070568757,0.284833956652985,0,0
"PBMC RNA, kat 3, 1st visit",0,0,0.314328872754925,0.149543007900719,0.211428494497555,0.324699624846801,0
"PBMC RNA, kat 3, 2nd visit",0.0153783017987143,0,0,0,0.604476330120508,0,0.380145368080778
"PBMC RNA, kat 4, 1st visit",0,0.238024258545813,0,0,0,0,0.761975741454187
"PBMC RNA, kat 4, 2nd visit",0,0.365048084925516,0,0,0,0,0.634951915074484
"PBMC RNA, sri 1, 1st visit",0.518008569775237,0,0.360134348228313,0.0691056289878225,0.0527514530086277,0,0
"PBMC RNA, sri 1, 2nd visit",0,0.317485922453488,0.682514077546512,0,0,0,0
"PBMC RNA, sri 2, 1st visit",0,0.15596505125863,0.330096608083955,0,0.167627254943288,0,0.346311085714127
"PBMC RNA, sri 2, 2nd visit",0.179472562913488,0,0.16853529298646,0.0235558474638002,0,0.0172758558235541,0.611160440812698
"PBMC RNA, sri 3, 2nd visit",0.20611378050157,0,0.208342023832448,0.404913722209226,0.180630473456757,0,0
"PBMC RNA, sri 4, 2nd visit",1,0,0,0,0,0,0
"probe_mean_signal",0.29347208040159,0.419093110459431,0,0.287434809138979,0,0,0
