"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"K17_m_24",0.0713335098404799,0.106772175238751,0,0,0.155942571644745,0.636428766997526,0.0295229762784987,0
"K18_f_25",0,0,0,0,0,1,0,0
"K1_f_18",0,0,0,0,0.1380143918273,0.8619856081727,0,0
"K20_m_47",0.00939994136326322,0.0234379731347036,0,0,0.147082659029886,0.767045956070257,0.00936373940157823,0.0436697310003115
"K21_m_39",0,0.999999999999974,0,6.44614320076744e-15,0,1.93384296023023e-14,0,0
"K22_f_52",0,0,0,0,0,1,0,0
"K24_f_24",0,0.0162068362533996,0,0,0.0161317258584398,0.602914558358469,0.364746879529692,0
"K25_m_33",0,0,0,0,0.35689685702617,0.625315729790513,0.0177874131833168,0
"K26_f_24",0,0.0188897660244541,0,0,0.0747612226271946,0.846428962335273,0,0.0599200490130779
"K27_m_23",0,0,0,0,0.0506905964822434,0.949309403517757,0,0
"K2_m_28",0.0483632942546716,0.236836716481671,0,0,0,0.617656998386765,0.0971429908768927,0
"K30_m_29",0,0,0,0,0,1,0,0
"K3_f_29",0,0.0389236492931611,0,0,0.0778110233187262,0.818425463809536,0.064839863578577,0
"K8_f_41",5.30785642580824e-16,0.0722275395703387,0,0,0.24866569479176,0.66424802301464,0.0148587426232611,0
"10_f_55",0,0.0269249615091647,0,0,0.208858464102445,0.673656059163256,0,0.0905605152251341
"11_m_27",1.1002290883842e-15,1.1002290883842e-15,0,0,6.60137453030519e-15,0.999999999999991,0,0
"13_m_58",0,0.061456387657965,0,0,0.233394957180019,0.60494325224326,0,0.100205402918756
"16_f_45",0,0,0,0,0.388084829318823,0.611915170681178,0,0
"19_f_60",0,0.0495848480791637,0,0,0.153502232701884,0.651625314268185,0,0.145287604950768
"1_f_20",9.27418527129915e-16,0.036772085280878,0,0,0.250824853005387,0.591503184467511,0,0.120899877246223
"20_m_47",0,0,0,0,0,0.658382974256485,0.341617025743515,0
"21_m_37",0,0,0,0,0.218176379427907,0.664594793972054,0.117228826600039,0
"22_f_53",0,0.0505695506773032,0,0,0.18678867728352,0.681637836371535,0,0.0810039356676425
"24_f_26",0,0,0,0,0.116628568936018,0.883371431063982,0,0
"30_m_34",0,0,0,0,0.106144801629124,0.779874425807125,0.113980772563751,0
"5_f_43",0,0,0,0,0.155669519743079,0.829810724643974,0,0.014519755612947
"6_m_63",0,0,0,0,0.129258399818051,0.837861552620416,0.0328800475615331,0
"7_m_24",0,0.0519520383461466,0,0,0.0870017161035083,0.30176465754186,0.559281588008485,0
"probe_mean_signal",0,0,0,0,0.204419869948226,0.783559706811041,0.0120204232407338,0
