"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"K17_m_24",0.558519520980858,0.424717118320071,0,0.0167633606990716,0,0,0,0
"K18_f_25",0.0299934639101879,0,0.40223174465014,0,0.0753765083223004,0,0.492398283117372,0
"K1_f_18",0,0,0,1,0,0,0,0
"K20_m_47",0.487474433669742,0,0,0,0.0284461216833041,0.3108525136736,0,0.173226930973354
"K21_m_39",0.111014094270207,0.386572590266237,0.170553918842021,0.187576471206813,0,0,0.125929431438606,0.0183534939761158
"K22_f_52",0.27822936304186,0.0937552487552283,0.302837883183716,0.325177505019196,0,0,0,0
"K24_f_24",0,0.0557829861835093,0.327385208600777,0.1200969774201,0,0,0.483761045624691,0.0129737821709224
"K25_m_33",0.010801101724941,0,0.000359866591231462,0,0.677501788454899,0.276383985240813,0.0349532579881154,0
"K26_f_24",0,0.287783991787144,0,0.231082231232363,0,0,0,0.481133776980493
"K27_m_23",0,0,0,0,0.00291130644036072,0.997088693559639,0,0
"K2_m_28",0.359316211490523,0.281717945784421,0.272920761606447,0,0,0,0.0825353535809997,0.00350972753760916
"K30_m_29",0,0.343917129801961,0.569147151708782,0,0,0,0.0869357184892571,0
"K3_f_29",0,0.617803067033529,0.0781153032046606,0.0936556872838325,0,0,0.152570030307795,0.0578559121701821
"K8_f_41",0.532020963764965,0.467979036235035,0,0,0,0,0,0
"10_f_55",0,0,0,0.206570318494176,0.186775974923236,0.242238554726266,0,0.364415151856322
"11_m_27",0.640046279117719,0.236501010639256,0.123452710243026,0,0,0,0,0
"13_m_58",0,0.445788008650924,0,0,0,0,0,0.554211991349076
"16_f_45",0,0,0.00352004137165901,0,0.743049414317892,0.0841933444677832,0.169237199842666,0
"19_f_60",0.0763350982621614,0.18262958547835,0,0,0.00534369433299875,0.136466507807213,0,0.599225114119277
"1_f_20",0.380165356644994,0.0367926748170627,0,0,0.0663948545277519,0,0,0.516647114010192
"20_m_47",0.148576532817144,0.1369936857482,0.110270538760474,0,0.123448419440693,0,0.480710823233489,0
"21_m_37",0,0,0.172014940598704,0,0.174036316107009,0.357767464949001,0.296181278345287,0
"22_f_53",0,0,0,0,0.146832811499061,0.265739713374301,0,0.587427475126638
"24_f_26",0,0,0,0.470841329597112,0,0.465583617630015,0,0.0635750527728726
"30_m_34",0,0,0,0,0.172646920649545,0.311860960554003,0.307652790573372,0.20783932822308
"5_f_43",0,0,0,0.61045768271856,0.0929524837593777,0.29561570571926,0,0.000974127802802831
"6_m_63",0,0,0,0,0,0.254696666499813,0.194653331857969,0.550650001642218
"7_m_24",0,0.0815430354353818,0.248716554756937,0.291880635542762,0,0,0.37785977426492,0
"probe_mean_signal",0,0,0,0,0,1,0,0
