"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"HC-104",0,0.322004263914086,0.186869384965962,0,0.338219322482876,0.0835612681327776,0.0693457605042983
"HC-115",0,0.452426818482846,0.075307597103961,0,0.472265584413193,0,0
"HC-172",0.0403130081829405,0.27755281864782,0.128955866917199,0.0325103692548712,0.314245747764676,0.103662507879854,0.10275968135264
"HC-204",0.0400306451070632,0.145991901648146,0.0981265385331778,9.50541667298916e-17,0.374145864552684,0.0797255060356399,0.261979544123289
"HC-209",0.0590961163554679,0.143905062013857,0.0918374487860291,0.0483647227296135,0.429401679637708,0.089446914280305,0.13794805619702
"HC-216",0.0516764203688802,0.195667636104156,0.144861203264982,0.0440751065986525,0.323779099187207,0.11528429882968,0.124656235646442
"HC-253",0,0.353002737414255,0.177747680345002,0,0.413755201544633,0.0143171281006539,0.0411772525954562
"HC-261",0.0298934029256616,0.195002555226429,0.112533872689693,0.0239941563465814,0.45133478848903,0.07161366524847,0.115627559074135
"HC-262",0.0402046028066032,0.231655011808052,0.149753170300729,0.0367265095084786,0.278895267223787,0.134453165835775,0.128312272516576
"HC-279",0.045427717297899,0.252696017526204,0.131283294003665,0.035158077908754,0.353059042329285,0.0744496800578786,0.107926170876315
"HC-284",0.0364763845640766,0.141014872475678,0.130835454854009,0.032310902151953,0.359015321070815,0.110101471333643,0.190245593549825
"HC-285",0,0.237036403776558,0.10903782125675,0,0.386230361521792,0.0258302463368521,0.241865167108048
"HC-296",0,0.171305838448219,0.259353058340665,0,0.365620133752179,0.112507318878297,0.0912136505806407
"HC-3",0.0598024273790388,0.207566433050325,0.125857209329038,0.0500380012618342,0.285944549477387,0.116141062357479,0.154650317144897
"HC-321",0.0409669597079593,0.227078016493308,0.114161432695405,0.0346313360837389,0.328393181042158,0.072039395773776,0.182729678203654
"HC-350",0.0542469816939978,0.183344734372036,0.129516509569461,0.0479393313425717,0.347638061521089,0.102603907998111,0.134710473502733
"HC-365",0,0.238809280187049,0.0870491641403633,0,0.5505628767122,0.0467558821282629,0.0768227968321249
"HC-418",0,0.207294411167453,0.118384945390422,0,0.36045395599755,0.202586891512349,0.111279795932226
"HC-45",0,0.242594208282029,0.087224189303789,0,0.388534266065913,0.013973752147099,0.26767358420117
"HC-513",0,0.366183164640638,0.0900673469040665,0,0.407493692961268,0.0349455412825633,0.101310254211464
"HC-569",0.00181772276383803,0.354034383648898,0.0894762428918727,0.00968114925395564,0.428879756953465,0.038436010626451,0.0776747338615196
"HC-592",0.0539091020938453,0.211454178581515,0.138000930172621,0.0455552647449718,0.217062230377243,0.182093772317787,0.151924521712017
"HC-84",0,0.317302355251923,0.0971119587008075,0,0.480515903243191,0.0134622288966762,0.0916075539074024
"HC-88",0.0295002383641541,0.209993310837032,0.0864253741577163,0.025749399432734,0.350318182483171,0.110948527300624,0.187064967424569
"BD1-351",0,0.306445303868837,0.134790416270154,0,0.45640526078127,0.0261932458564958,0.0761657732232434
"BD1-362",0,0.35945706414042,0.0822141328897038,0,0.4044966864481,0,0.153832116521777
"BD1-568",0.0318377256114311,0.129910439722566,0.1502313421417,0.027217240059621,0.377188130184402,0.116006571449542,0.167608550830738
"BD1-588",0.042462791216369,0.163448908296705,0.0863984529412365,0,0.480205841967863,0.0892674611761497,0.138216544401676
"BD2-231",0,0.347133860732544,0.222722056806082,0,0.377547171428016,0.0493459611937839,0.00325094983957413
"BD2-244",0.0503627321260105,0.152009871485251,0.0806607646366471,0.26372419923948,0.232446932320717,0.103521210156302,0.117274290035593
"BD2-282",0.0646989210418535,0.210388766148609,0.150246800329265,0.0586045143448072,0.259095751708107,0.109024091899798,0.147941154527561
"BD2-338",0.0572840108296627,0.182251337519166,0.118893374750131,0.0481711336032803,0.370750749067056,0.108412806692003,0.114236587538702
"MDD-286",0,0.293797723900497,0.126548054531293,0,0.369488068621261,0.0357023069761409,0.174463845970809
"MDD-305",0.0385827592682511,0.261295708530015,0.133753374907662,0.0285735657324226,0.355045584400327,0.0893858211065525,0.0933631860547695
"MDD-328",0,0.305062427866843,0.122713159820152,0,0.401479476785243,0.024631034863512,0.14611390066425
"MDD-329",0,0.250614395733605,0.170217838475932,0,0.33794623954041,0.0782152070391497,0.163006319210903
"MDD-341",0.0431195129634688,0.196416603858951,0.123889360966434,1.11473821700132e-16,0.401725395616484,0.104293071880796,0.130556054713865
