"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"whole blood-control-LPS-± 6 h-CON01",0,1.54659377130613e-16,0,0,1,0,0,0
"whole blood-control-LPS-± 6 h-CON02",0,0.153529752769651,0,0.397315890596517,0.449154356633832,0,0,0
"whole blood-control-LPS-± 6 h-CON03",0,0.139944586262445,0,0,0.860055413737555,0,0,0
"whole blood-control-LPS-± 6 h-CON04",0,0.118495926246765,0,6.74977777589142e-16,0.751555443379823,0,0.129948630373411,0
"whole blood-control-LPS-± 6 h-CON05",0,0.204362063564693,0,0.795637936435298,3.55513354758322e-15,0,4.83869047144665e-15,0
"whole blood-control-LPS-± 6 h-CON06",0,0,0,0,1,0,0,0
"whole blood-control-LPS-± 6 h-CON07",0,0,0,0,1,0,0,0
"whole blood-control-LPS-± 6 h-CON08",0,0.524948805234383,0,4.43768827191057e-15,0.475051194765612,0,0,0
"whole blood-control-LPS-± 6 h-CON09",0.101181214621166,0.175949353301167,0.122933880311517,0.122516473595824,0.214663563154197,7.16434237957157e-17,0.150400803471223,0.112354711544906
"whole blood-control-LPS-± 6 h-CON10",0,0,0,2.63681356331104e-15,0.999999999999997,0,0,0
"whole blood-control-LPS-± 6 h-CON11",0,0.499499617558551,0,0.355456420553272,0.145043961888178,0,0,0
"whole blood-control-LPS-± 6 h-CON12",0,0.248577246372425,0,2.07202247680994e-15,0.751422753627573,0,0,0
"whole blood-control-LPS-± 6 h-CON13",0,0.057068622969575,0,0,0.942931377030425,0,0,0
"whole blood-control-LPS-± 6 h-CON14",0,0.00764035122853586,0,0,0.992359648771464,0,0,0
"whole blood-control-LPS-± 6 h-CON15",0,0.305405108998306,0,0,0.694594891001694,0,0,0
"whole blood-control-LPS-± 6 h-CON16",0,0.554724811484715,2.75857358827711e-15,0.445275188515279,2.75684619177716e-15,0,0,0
"whole blood-control-LPS-± 6 h-CON17",0,0.260353464141079,0,2.01527171776239e-15,0.683724101178762,0,0.055922434680157,0
"whole blood-control-LPS-± 6 h-CON18",0,0.172527910488246,0,7.05423884053124e-17,0.809092191376621,0,0.0183798981351325,0
"whole blood-control-LPS-± 6 h-CON19",0,0.197605167365088,0,0,0.802394832634911,0,5.28804868915661e-16,0
"whole blood-control-LPS-± 6 h-CON20",0,0.222282798150408,0,0,0.709922239315739,0,0.0677949625338537,0
"whole blood-control-LPS-± 6 h-CON22",0,0.358049763073424,0,1.37705229000056e-16,0.641950236926576,0,0,0
"whole blood-control-LPS-± 6 h-CON23",0,0.707213863129789,0,0.202380239861369,0.0904058970088423,0,0,0
"whole blood-control-LPS-± 6 h-CON24",0,0.275824340363217,0,4.12863864090268e-16,0.724175659636782,0,0,0
"whole blood-control-LPS-± 6 h-CON25",0,0,0,0,1,0,0,0
"whole blood-control-LPS-± 6 h-CON26",0,0.106368679515264,0,4.83094333713369e-16,0.893631320484736,0,0,0
"whole blood-control-LPS-± 6 h-CON27",0,0.329712523318184,0,0,0.670287476681816,0,0,0
"whole blood-control-LPS-± 6 h-CON28",0,0.363409711600923,0.00684846544063731,0,0.62974182295844,0,0,0
"whole blood-control-LPS-± 6 h-CON29",0,0.294071339545669,0,0.0428060532649582,0.585297302400187,0,0.0778253047891854,0
"whole blood-control-LPS-± 6 h-CON31",0,0.095516320250624,0.0016518509208731,2.2093465190089e-15,0.902831828828501,0,0,0
"whole blood-control-LPS-± 6 h-CON32",0,0.088021246628576,0,0.157561160393084,0.75441759297834,0,0,0
"whole blood-control-LPS-± 6 h-CON36",0,0.528038631652902,0,0.235511564102943,0.236449804244155,0,0,0
"whole blood-control-LPS-± 6 h-CON37",0,0.686486894558075,0,1.12400472673318e-15,0.313513105441924,0,0,0
"whole blood-control-basal-CON01",0,0.486752782403473,0,0,0.513247217596527,0,0,0
"whole blood-control-basal-CON02",0,0.903489423442033,8.74799217861766e-16,0.0965105765579666,0,0,0,0
"whole blood-control-basal-CON03",0,0.742349777443866,0,0.257650222556134,0,0,0,0
"whole blood-control-basal-CON04",0.055870753577782,0.233484095257097,0.0937774463833539,0.0602678575858307,0.417292408246643,0.0537385911110926,0.0855688478382007,0
"whole blood-control-basal-CON05",0,0.135141846790273,0,0.864858153209727,0,0,0,0
"whole blood-control-basal-CON06",0,0.530917713071715,0,0,0.469082286928285,0,0,0
"whole blood-control-basal-CON07",0,0.37048453798362,0,0.62951546201638,0,0,0,0
"whole blood-control-basal-CON08",0,0.968129273148312,0,0.0318707268516879,0,0,0,0
"whole blood-control-basal-CON09",0,0.64388741094759,1.28481160249676e-15,0.356112589052384,2.53889060741975e-14,0,0,0
"whole blood-control-basal-CON10",0.0417919497253146,0.187135814325337,0.0520105895961702,0.160492759552531,0.422270536947761,0.037430784757367,0.0428530205451639,0.0560145445503553
"whole blood-control-basal-CON11",0,0.596027232540883,0,0.403972767459111,5.93885443621879e-15,0,0,0
"whole blood-control-basal-CON12",0,0.76789688524931,0,0.23210311475069,0,0,0,0
"whole blood-control-basal-CON13",0,0.332651968800262,0,0,0.667348031199738,0,0,0
"whole blood-control-basal-CON14",0,0.152293804960126,0,0.122324220177225,0.725381974862638,1.0347532553348e-14,0,0
"whole blood-control-basal-CON15",0.0562685361974209,0.173088533578352,0.0985919866806808,0.26798164615075,0.217864725766508,0.0595718831060705,0.063906255994138,0.0627264325260789
"whole blood-control-basal-CON16",0,0.607615246237682,0,0.392384753762318,0,0,0,0
"whole blood-control-basal-CON17",0.0170448644573261,0.390959599120346,0.0333250020544115,0.0481232183516502,0.392109191876396,0.0143963021282654,0.088841878272989,0.0151999437386162
"whole blood-control-basal-CON18",0.068553757606103,0.302883358539502,0.0954857163364303,0.0794651241393894,0.228763867084782,0.0702172547301919,0.0737592331287314,0.0808716884348703
