"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"whole blood-control-LPS-± 6 h-CON01",0,0.000126786339005973,0,0,0.285191973667862,0,0.714681239993132,0
"whole blood-control-LPS-± 6 h-CON02",1,0,0,0,0,0,0,0
"whole blood-control-LPS-± 6 h-CON03",0,0,0,0.156792400785701,0.000662372167300479,0,0.593305821151766,0.249239405895232
"whole blood-control-LPS-± 6 h-CON04",0,0.292794605979807,0.167208222297778,0,0.106196122018525,0,0.433801049703891,0
"whole blood-control-LPS-± 6 h-CON05",0.0514507628604931,0,0,0.765180806957259,0,0,0.183368430182248,0
"whole blood-control-LPS-± 6 h-CON06",0,0,0,0,1,0,0,0
"whole blood-control-LPS-± 6 h-CON07",0,0,0,0.167861334996181,0.629017542754052,0,0.203121122249767,0
"whole blood-control-LPS-± 6 h-CON08",0.177501918981069,0,0.0789205860919971,0,0,0,0,0.743577494926933
"whole blood-control-LPS-± 6 h-CON09",0,0,0.37446378040416,0.101528280799989,0,0,0.524007938795851,0
"whole blood-control-LPS-± 6 h-CON10",0.178657196674369,0,0,0.0101868550919164,0.52851702058888,0,0.282638927644835,0
"whole blood-control-LPS-± 6 h-CON11",1,0,0,0,0,0,0,0
"whole blood-control-LPS-± 6 h-CON12",0,0,0.679898998722429,0.212726403915612,0.0771122819994701,0,0.0302623153624891,0
"whole blood-control-LPS-± 6 h-CON13",0,0.299399905109107,0,0,0.700600094890893,0,0,0
"whole blood-control-LPS-± 6 h-CON14",0,0,0,0,0.427265109460608,0.185922992307929,0.386811898231464,0
"whole blood-control-LPS-± 6 h-CON15",0,0,0,0,0.0401686227413987,0,0.959831377258601,0
"whole blood-control-LPS-± 6 h-CON16",0,0,0,0,0,0,0,0
"whole blood-control-LPS-± 6 h-CON17",0,0.266750320456116,0,0,0.179179206186847,0,0.554070473357037,0
"whole blood-control-LPS-± 6 h-CON18",0.0527488894122169,0.151663191823447,0.166604256282607,0,0.140099996089196,0,0.488883666392532,0
"whole blood-control-LPS-± 6 h-CON19",0,0,0,0,0.413578878013934,0,0.586421121986066,0
"whole blood-control-LPS-± 6 h-CON20",0,0.181561107466065,0.143166213297716,0,0.147788739798074,0,0.346593252169929,0.180890687268216
"whole blood-control-LPS-± 6 h-CON22",0,0,0,0,0,0,0,0
"whole blood-control-LPS-± 6 h-CON23",0,0,0,1,0,0,0,0
"whole blood-control-LPS-± 6 h-CON24",0,0,0,0,0,0,0,1
"whole blood-control-LPS-± 6 h-CON25",0,0,0,0,0.749439371167167,0,0.250560628832833,0
"whole blood-control-LPS-± 6 h-CON26",0,0.181836670260187,0.0539629146900045,0,0.519203019957578,0,0.24499739509223,0
"whole blood-control-LPS-± 6 h-CON27",0,1,0,0,0,0,0,0
"whole blood-control-LPS-± 6 h-CON28",0,0,0,0,1,0,0,0
"whole blood-control-LPS-± 6 h-CON29",0.0766359406322912,0.0167901688919682,0,0,0.256828556962231,0,0.168086968469382,0.481658365044128
"whole blood-control-LPS-± 6 h-CON31",0.0170661477544666,0.0709059172247652,0.188103771621443,0.479802950071935,0.24412121332739,0,0,0
"whole blood-control-LPS-± 6 h-CON32",0,0,0.128244346270455,0.854444369040437,0.0173112846891086,0,0,0
"whole blood-control-LPS-± 6 h-CON36",0.451772421336371,0,0,0.245623424383046,0.302604154280583,0,0,0
"whole blood-control-LPS-± 6 h-CON37",0,0.349288908382328,0.16831157666398,0,0,0,0.482399514953692,0
"whole blood-control-basal-CON01",0,0.73365703418132,0,0,0.0794023790741873,0.186940586744493,0,0
"whole blood-control-basal-CON02",0.206708517114793,0,0,0,0,0,0,0.793291482885207
"whole blood-control-basal-CON03",0,0,0,0.0919666588429571,0,0.0660031998792925,0,0.84203014127775
"whole blood-control-basal-CON04",0,0.592033922200833,0.283391765825929,0,0.0568503489572335,0,0.067723963016005,0
"whole blood-control-basal-CON05",0.0251754206638965,0,0,0.484868718043251,0,0.132371793910408,0,0.357584067382444
"whole blood-control-basal-CON06",0.172956201815124,0.0245430651342621,0,0,0,0,0,0.802500733050614
"whole blood-control-basal-CON07",0,0,0,0.904900021303204,0,0,0,0.0950999786967955
"whole blood-control-basal-CON08",0,0.0309301002580649,0,0,0,0,0,0.969069899741935
"whole blood-control-basal-CON09",0.0528952184945951,0,0.306856360441401,0.0925756146062426,0,0,0.397798705188645,0.149874101269116
"whole blood-control-basal-CON10",0.236412032756485,0,0,0.216777749194047,0.0928473125434707,0.0848228462189024,0,0.369140059287094
"whole blood-control-basal-CON11",0.290726251970917,0.0115071496646881,0,0.0627855794364282,0,0.191906371713425,0,0.443074647214541
"whole blood-control-basal-CON12",0.0308014959797635,0.0870994690311912,0.358091769979871,0.145390212257076,0,0.334673031827306,0,0.0439440209247916
"whole blood-control-basal-CON13",0,0.307787772994844,0,0.119441634988092,0.116856043928053,0.312604705620952,0,0.143309842468059
"whole blood-control-basal-CON14",0,0,0,0.0740234602580023,0,0.472046532165075,0.0379580064253861,0.415972001151537
"whole blood-control-basal-CON15",0,0,0,0.536690088256523,0,0.151144277037659,0.312165634705819,0
"whole blood-control-basal-CON16",0.319197052594873,0,0.134991694461603,0.0672930949982152,0,0,0,0.478518157945309
"whole blood-control-basal-CON17",0,0.404136699702189,0.0155742860159149,0.0257154435272378,0.0565816068613869,0.181305609829748,0.213750583727369,0.102935770336155
"whole blood-control-basal-CON18",0.188730287751194,0.208651449676364,0.202028616189282,0.0415226967514911,0.005685051784295,0.0915402260681212,0.094423380974818,0.167418290804434
