"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"HC_1",0.0435855389925506,0.0950251296217713,0,0.530756304935277,0,0,0.330633026450402
"HC_10",0.0441217828945944,0.442017456725816,0.367555956300298,0,0,0.146304804079292,0
"HC_11",0.573377912786456,0.320896420893972,0.0991051399189154,0,0,0,0.00662052640065638
"HC_12",0,1,0,0,0,0,0
"HC_2",0.380011490828253,0.0230038989598512,0.33423091478106,0.262753695430835,0,0,0
"HC_3",0.510119575132944,0.489880424867056,0,0,0,0,0
"HC_4",0.318779441563907,0.0872644484845008,0.0150105601434483,0.108786526192929,0,0,0.470159023615214
"HC_5",0.0520333862126665,0.313538652393827,0,0.379062738456639,0,0,0.255365222936868
"HC_6",0.651468476879243,0,0,0.348531523120757,0,0,0
"HC_7",0.0469709826243538,0,0.277155514435684,0,0.137143033722663,0.321992934884237,0.216737534333062
"HC_8",0.17497731536714,0.143297655080368,0.319710952166687,0,0,0.362014077385804,0
"HC_9",0.537283325002449,0.462716674997551,0,0,0,0,0
"LOD-dep_1",0,0.201940746933864,0,0,0.458718444625411,0.339340808440726,0
"LOD-dep_10",0,0,0,0,0.40655038311814,0,0.59344961688186
"LOD-dep_2",0.163748671144445,0,0,0,0,0,0.836251328855555
"LOD-dep_3",0,0.701021440284915,0,0,0.298978559715085,0,0
"LOD-dep_4",0,0,0.202180664214782,0.233189601356701,0.171492531873282,0.393137202555234,0
"LOD-dep_5",0,0,0,0,1,0,0
"LOD-dep_6",0,0,0,0.607539007635604,0.392460992364396,0,0
"LOD-dep_7",0,0,0.33339052535661,0.203132690857945,0.325822932025369,0.137653851760077,0
"LOD-dep_8",0.607214784748078,0.241279638408084,0,0,0,0,0.151505576843838
"LOD-dep_9",0,0,0,0.419801892454635,0.108337748705004,0,0.47186035884036
"LOD-rem_1",0,0.0555956033846954,0.486585537212756,0,0,0.457818859402548,0
"LOD-rem_10",0.261870202820733,0.514352756185301,0,0,0,0,0.223777040993966
"LOD-rem_2",0.560748490947577,0.439251509052423,0,0,0,0,0
"LOD-rem_3",0,0,0.0843046256719589,0,0.363470364391957,0.552225009936084,0
"LOD-rem_4",0,0,0,0,1,0,0
"LOD-rem_5",0,0,0,0.462268277283061,0.348016722632872,0.189715000084067,0
"LOD-rem_6",0,0,0.333521307421634,0,0,0.666478692578366,0
"LOD-rem_7",0,0,0,0,1,0,0
"LOD-rem_8",0.0790432757972831,0.132803860205451,0.12146342993115,0,0,0.364072773761406,0.302616660304709
"LOD-rem_9",0,0.302491210820749,0.446647104561407,0,0,0.162978117431275,0.0878835671865689
"probe_mean_signal",1,0,0,0,0,0,0
