"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"ID_REF",0.168934612381857,0.175712501773265,0.191334955523644,0.182546423961,0.00611941994896725,0.165450747335785,0.109901339075482
"PBMC_C1-0w_rep1",0,0,0.397107560383884,0.0298286361799015,0,0,0.573063803436215
"PBMC_C1-8w_rep1",0,0,0.418170519371381,0.0874621042883111,0.0347552829999372,0.0142484566659054,0.445363636674465
"PBMC_C2-0w_rep1",0,0,0,0,0,0,0
"PBMC_C2-8w_rep1",0,1,0,0,0,0,0
"PBMC_C3-0w_rep1",0,0.581858902227995,0,0,0,0,0.418141097772005
"PBMC_C3-8w_rep1",0,0.76238032726876,0,0,0,0,0.23761967273124
"PBMC_C4-0w_rep1",0,0,0.381271451091759,0,0,0.204687230122567,0.414041318785674
"PBMC_C4-8w_rep1",0,0,0,0.0512667350699323,0.855436965352144,0.0932962995779238,0
"PBMC_C5-0w_rep1",0.0108941218095334,0.0767694468146892,0.0740698836674921,0,0,0.321798756668397,0.516467791039888
"PBMC_C5-8w_rep1",0,0.341606837957977,0.0493932970654542,0,0,0.5094662421297,0.0995336228468685
"PBMC_C6-0w_rep1",0,0.948431777729549,0,0,0,0,0.0515682222704509
"PBMC_C6-8w_rep1",0,0,0,0,0,0,1
"PBMC_C7-0w_rep1",0,0,0,0,0,0,0
"PBMC_C7-8w_rep1",0,1,0,0,0,0,0
"PBMC_C8-0w_rep1",1,0,0,0,0,0,0
"PBMC_C8-8w_rep1",1,0,0,0,0,0,0
"PBMC_C9-0w_rep1",0.109566252302055,0,0.267406346604519,0,0,0.623027401093425,0
"PBMC_C9-8w_rep1",1,0,0,0,0,0,0
"PBMC_P1-0w_rep1",0,0,0,0,1,0,0
"PBMC_P1-8w_rep1",0,0,0,0,0,0,0
"PBMC_P2-0w_rep1",0,0,0,1,0,0,0
"PBMC_P2-8w_rep1",0,0,0,0.347694725674636,0.652305274325364,0,0
"PBMC_P3-0w_rep1",0.0964935791595644,0.669556252741141,0.0160034962834708,0,0,0.217946671815824,0
"PBMC_P3-8w_rep1",0.127359036100289,0.423452778936342,0,0,0.0969682723378626,0.352219912625506,0
"PBMC_P4-0w_rep1",0,0,0,0,0.163943310035539,0,0.836056689964461
"PBMC_P4-8w_rep1",0,1,0,0,0,0,0
"PBMC_P5-0w_rep1",0,0,0,0.300700623816386,0,0,0.699299376183614
"PBMC_P5-8w_rep1",0,0,0,0,0.132428528861908,0,0.867571471138092
"PBMC_P6-0w_rep1",0.169935152748112,0,0,0,0.821859096486548,0,0.00820575076533939
"PBMC_P6-8w_rep1",1,0,0,0,0,0,0
"PBMC_P7-0w_rep1",0.377733326437339,0.10633583217225,0,0.0770519571082814,0,0,0.43887888428213
"PBMC_P7-8w_rep1",0.663377697825115,0.0273181015472412,0,0.192267428267109,0,0,0.117036772360535
"PBMC_P8-0w_rep1",0,0,0.105312697742377,0,0.0760452010121744,0.350149174947047,0.468492926298402
"PBMC_P8-8w_rep1",0,0,0,0,0,1,0
"PBMC_P9-0w_rep1",0,0,0.190357801540034,0,0.515484127054733,0.0288405138419859,0.265317557563248
"PBMC_P9-8w_rep1",0,0,0.347533402206027,0,0.0734169535190048,0.388671791595939,0.19037785267903
"probe_mean_signal",0,0,0,0,0,0,0
