"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"whole_blood_control_1",0.0824959061430208,0,0,0,0.154815748283458,0,0.0210964369445303,0.74159190862899
"whole_blood_control_10",0.629060541780433,0.33829209538259,0,0,0,0.032647362836977,0,0
"whole_blood_control_11",0,0,0,0,0.471063510187937,0.528936489812063,0,0
"whole_blood_control_12",0,0,0.170705597552378,0,0.435384428505951,0.299343020638774,0.0945669533028965,0
"whole_blood_control_13",0.126718636417763,0.0668885481276738,0.112933019996827,0,0.235800491295063,0.108079211977478,0.349580092185196,0
"whole_blood_control_14",0.239619197796741,0.207191216857134,0.176101719512236,0,0,0,0.129137795503184,0.247950070330705
"whole_blood_control_15",0,0,0.158579703511969,0,0,0,0.517191780114251,0.32422851637378
"whole_blood_control_16",0,0,0,0.748841869486357,0.00423578822976228,0,0,0.24692234228388
"whole_blood_control_17",0.471928012629987,0.528071987370013,0,0,0,0,0,0
"whole_blood_control_18",0,0,0,0.154118549070476,0.337787796066592,0.508093654862932,0,0
"whole_blood_control_19",0.093941598631453,0.532357405805793,0.0912388294371,0.282462166125654,0,0,0,0
"whole_blood_control_2",0,0.830703603116763,0,0,0,0.169296396883237,0,0
"whole_blood_control_20",0.215859819427241,0,0.252305721641419,0,0.350093198837964,0,0.181741260093377,0
"whole_blood_control_21",0.413143957637735,0,0.0523925962344009,0,0.171658448806046,0.137221935264687,0.225583062057131,0
"whole_blood_control_22",0,0.46402784574502,0.335786095132694,0,0,0,0.0175120163281419,0.182674042794144
"whole_blood_control_23",0,0.339768083047031,0.30020484185378,0.302400038628822,0,0,0.057627036470368,0
"whole_blood_control_24",0.167526535156185,0.0396240834664852,0.307204688895335,0.138098089846701,0,0,0.289271468431807,0.0582751342034866
"whole_blood_control_25",0,0,0.27885127695538,0,0,0.169927423766107,0.551221299278513,0
"whole_blood_control_26",0.087986051527967,0.169023587998282,0.0892588625940428,0,0.139152013424428,0.172257809180397,0.23879504203965,0.103526633235235
"whole_blood_control_27",0.202414110733717,0.125368555774809,0,0.597069034419876,0,0,0,0.0751482990715974
"whole_blood_control_28",0.129937560446322,0.0990690639174249,0.34446930456427,0.0830432355500985,0,0,0.160532579216238,0.182948256305646
"whole_blood_control_29",0.632243319065949,0.269417772435012,0,0,0,0.0983389084990394,0,0
"whole_blood_control_3",0.439702486632396,0,0.199053436420309,0,0.0665495637697214,0,0.294694513177573,0
"whole_blood_control_30",0,0,0,0.671351876558999,0.240939796053075,0.0226349129116003,0,0.0650734144763265
"whole_blood_control_31",0.228851550014761,0.437223931256188,0.0703434287096188,0,0,0,0.100352463354607,0.163228626664825
"whole_blood_control_32",0,0,0.323989906041232,0,0,0,0.511526779856669,0.164483314102099
"whole_blood_control_33",1,0,0,0,0,0,0,0
"whole_blood_control_34",0.0929010526976086,0.232151707466806,0.34004871870542,0,0,0,0.0934553137391605,0.241443207391004
"whole_blood_control_35",0,0.208065719863846,0.0992259027959946,0,0.210403598317603,0.139794826236643,0,0.342509952785914
"whole_blood_control_36",0,0,0.132125401916886,0,0.238865595799616,0.0844796734590037,0.482341213912321,0.0621881149121735
"whole_blood_control_37",0,0.383710667688946,0,0,0.149919021145931,0,0,0.466370311165124
"whole_blood_control_38",0,0,0,0.899654132784576,0,0,0,0.100345867215424
"whole_blood_control_39",0,0,0,0,0,0,0,1
"whole_blood_control_4",0.0565546575583603,0.276176599110165,0.596002131655193,0,0,0.0550119204349741,0.0162546912413086,0
"whole_blood_control_40",0.542866103411598,0.200095242692408,0,0,0,0,0.257038653895993,0
"whole_blood_control_41",0.43254906209979,0.56745093790021,0,0,0,0,0,0
"whole_blood_control_42",0,0,0.3871391280005,0,0.0282988946374613,0.0648813557869299,0.273075111873318,0.24660550970179
"whole_blood_control_43",0.18241435840242,0.157930623429103,0,0.288513520374206,0.0373621662308506,0.33377933156342,0,0
"whole_blood_control_44",0,0.70735424480524,0.29264575519476,0,0,0,0,0
"whole_blood_control_45",0.182316697852166,0.0656014975137945,0.357720753248063,0,0,0,0.394361051385976,0
"whole_blood_control_46",0.467838940430739,0.299922665496045,0.118479784711042,0,0,0,0.113758609362174,0
"whole_blood_control_47",0.0947555443676191,0.449357166418917,0,0,0.33725119351468,0,0.118636095698784,0
"whole_blood_control_48",0.0269124505245963,0.0159906180052143,0.562199850883043,0.0701257875107211,0,0,0.324771293076426,0
"whole_blood_control_49",0.0647585385522654,0.211661800844325,0.328762869251878,0.043736872824136,0,0,0.26931264002187,0.0817672785055255
"whole_blood_control_5",0,0,0,0,0.0450789689502599,0,0.95492103104974,0
"whole_blood_control_50",0.39012084050882,0.396307657724603,0,0,0,0,0.0879183073543082,0.125653194412268
"whole_blood_control_51",0.187474085361153,0.18234332996589,0.224618497344477,0,0,0,0.15240321653835,0.253160870790131
"whole_blood_control_52",0,0.0197401117245578,0.19796657606861,0,0,0,0.782293312206833,0
"whole_blood_control_53",0,0.20046488771396,0.161891233745584,0.035956267143575,0.072774553357935,0.053266978921007,0,0.475646079117939
"whole_blood_control_54",0,0.11143655593619,0.505297988236922,0,0,0.106552852943066,0.276712602883822,0
"whole_blood_control_55",0,0,0.325187422740834,0.0966365431251947,0.083316374967936,0,0.494859659166036,0
"whole_blood_control_56",0.244927854812771,0.755072145187228,0,0,0,0,0,0
"whole_blood_control_57",0.0961838469599601,0.895643867695446,0.00817228534459337,0,0,0,0,0
"whole_blood_control_58",0.159978378334777,0,0.00904226633265429,0.0924274203583183,0,0.0523472522905051,0.289596378338685,0.39660830434506
"whole_blood_control_59",0,0,0,0.0972883822885153,0.229214787313817,0.154642031386894,0.281368832133148,0.237485966877626
"whole_blood_control_6",0,0.0259426988292336,0.000878822204979275,0.0586082538399083,0.0286250333447524,0.120277000549533,0,0.765668191231593
"whole_blood_control_60",0.483650693903628,0,0,0,0.31617806427072,0.200171241825652,0,0
"whole_blood_control_61",0.402149084353689,0.329882258069316,0.10589763289736,0,0,0,0.0987664544181779,0.063304570261456
"whole_blood_control_62",0.0526421957827401,0,0.173890912090851,0.423447362982669,0.0998343503497984,0.250185178793941,0,0
"whole_blood_control_63",0.304227735064533,0,0.149096892991471,0.363905895532684,0.115663565428916,0.0589688613738856,0.00334659634545755,0.00479045326305257
"whole_blood_control_64",0,0,0.340166722746948,0,0.33986976151917,0.13895265497669,0.0971807849706468,0.0838300757865443
"whole_blood_control_7",0,0.0643608903082831,0.320786836922122,0,0.177484687295356,0,0.437367585474239,0
"whole_blood_control_8",0.488810486331696,0.141884860256915,0.369304653411389,0,0,0,0,0
"whole_blood_control_9",0,0,0,0.1003031149997,0.0941441300595055,0.329682410294995,0,0.475870344645799
"whole_blood_case_1",0,1,0,0,0,0,0,0
"whole_blood_case_10",0,0,0,0,0,0,0,1
"whole_blood_case_100",0,0,0,0.0871896686521219,0.433168930434209,0.357712224334409,0,0.12192917657926
"whole_blood_case_101",0,0.896853298885887,0,0,0,0.103146701114113,0,0
"whole_blood_case_102",0.0680571241220666,0,0.364391318459117,0.151841530490243,0,0,0.266887179705306,0.148822847223267
"whole_blood_case_103",0.218270989193138,0.0510032315872261,0,0,0,0.37509377834768,0.355632000871956,0
"whole_blood_case_104",0.446498726726801,0.00967145656504704,0,0.503935150342368,0,0.000429946837530247,0,0.039464719528254
"whole_blood_case_105",0.189504555811668,0.207620493070465,0.0609230402856248,0.541951910832242,0,0,0,0
"whole_blood_case_106",0.0319011067013749,0.224158664130817,0,0,0,0.023272028785343,0,0.720668200382465
"whole_blood_case_107",0,0,0.0542384395725895,0,0.131672060740921,0.0924895180689314,0.100185028078217,0.62141495353934
"whole_blood_case_108",0,0.75002639748555,0,0,0,0.222782087237357,0,0.0271915152770929
"whole_blood_case_109",0,0,0.155499874056617,0,0,0,0,0.844500125943384
"whole_blood_case_11",0,0.0183573224329872,0,0,0,0.490061347090661,0,0.491581330476352
"whole_blood_case_110",0,0,0,0,0.504125911175586,0.495874088824414,0,0
"whole_blood_case_111",0,0,0,0,0.0815000444056216,0.233319078992593,0.0742125505930192,0.610968326008766
"whole_blood_case_112",0,0,0,0.205849515245417,0.392615303217024,0.401535181537559,0,0
"whole_blood_case_113",0.100707501734264,0.332287418020919,0,0,0,0,0,0.567005080244818
"whole_blood_case_114",0.0555807508368102,0,0,0,0.623593307858851,0.278456806325908,0,0.0423691349784303
"whole_blood_case_115",0,0,0.180715943174863,0.000296282005375505,0.0610447554803716,0.111598493732998,0.384671094770414,0.261673430835978
"whole_blood_case_116",0,0.0282082472997476,0.305821532545293,0.133561364252441,0,0.0109599486573565,0.521448907245162,0
"whole_blood_case_117",0,0,0.0441992551611697,0.707269292874336,0,0.0426972159323322,0.205834236032162,0
"whole_blood_case_118",0,0,0,0.72002489061104,0,0.279744659990656,0,0.000230449398304544
"whole_blood_case_119",0.690070008841358,0.292104738783118,0,0,0,0,0.0178252523755234,0
"whole_blood_case_12",0.109315568905032,0.339263503874874,0.164267348489825,0.0868628357743785,0,0,0,0.300290742955891
"whole_blood_case_120",0,0,0,0.429733428292151,0.214312536699825,0.158580054542895,0,0.197373980465128
"whole_blood_case_121",0,0,0,0.53673528958556,0.140801482764132,0,0.00773093455905397,0.314732293091255
"whole_blood_case_122",0,0,0.0708951051596078,0,0.0101045333737276,0.0781308137327533,0.60020082775748,0.240668719976432
"whole_blood_case_123",0,0,0,0,0.362397816949856,0.637602183050144,0,0
"whole_blood_case_124",0.106821699696064,0,0,0,0.327190480873362,0.565987819430573,0,0
"whole_blood_case_125",0,0.0370404031559842,0,0.62146398447679,0.0608484124746247,0.0889407640738462,0,0.191706435818755
"whole_blood_case_126",0.174373105641566,0.215487728890943,0.0515626792597113,0.296804448561701,0.0177656363328609,0.00442114731014698,0.0869824958517346,0.152602758151335
"whole_blood_case_127",0,0,0.200041301281717,0,0.238531936322147,0.561426762396136,0,0
"whole_blood_case_128",0.0417705949509776,0.366791226204924,0.0633498477450316,0.286636410081044,0,0,0,0.241451921018022
"whole_blood_case_13",0,0,0,0,0.162673105777363,0.421320196082467,0,0.41600669814017
"whole_blood_case_14",0,0,0,0.534012815896283,0.198456472975574,0.267530711128143,0,0
"whole_blood_case_15",0,0,0,0.147804905361623,0.264982594541184,0.264921619343426,0,0.322290880753767
"whole_blood_case_16",0,0,0,0.463315239625697,0.0686015876193523,0.0160019235482324,0,0.452081249206719
"whole_blood_case_17",0.365228926872447,0.199101294527888,0,0,0.111267643496653,0.324402135103012,0,0
"whole_blood_case_18",0,0,0,0,0,1,0,0
"whole_blood_case_19",0,0,0,0.444758224832005,0.279619596742664,0.112853851415305,0,0.162768327010026
"whole_blood_case_2",0,0,0,0,0.687888473629723,0.312111526370277,0,0
"whole_blood_case_20",0.623525711409714,0.165139814751683,0,0,0.122158000070979,0,0.0891764737676239,0
"whole_blood_case_21",0,0,0.0259571311398983,0.179557107602122,0.411765837477587,0.15495343934915,0.227766484431242,0
"whole_blood_case_22",0.385328011544191,0.263403574117878,0.127858973075025,0,0,0,0.223409441262906,0
"whole_blood_case_23",0.0899202175447996,0.164547318276178,0.22538017938861,0,0,0.0620444694946737,0.103435291270399,0.354672524025339
"whole_blood_case_24",0,0,0,0,0.459375365165018,0.253320416629527,0.0934401485158175,0.193864069689637
"whole_blood_case_25",0,0.669304639458313,0,0,0,0,0.330695360541687,0
"whole_blood_case_26",0.177471521631609,0,0,0.185433679873287,0.204828862114212,0.00588713862095409,0,0.426378797759938
"whole_blood_case_27",0,0,0,0.841656293122193,0.0269141454565804,0.131429561421226,0,0
"whole_blood_case_28",0,0,0,0,0.728952737947215,0.0652008763901612,0.205846385662624,0
"whole_blood_case_29",0,0,0,0,0.344521722768878,0.381874792879595,0.273603484351528,0
"whole_blood_case_3",0,0,0.116452099930814,0.570824073236086,0,0.0384548963296479,0.274268930503453,0
"whole_blood_case_30",0,0,0.0344060541011493,0.510441501194081,0,0,0.453431802386073,0.00172064231869659
"whole_blood_case_31",0.0387948019824675,0.658165938646275,0,0,0,0,0.154297575287029,0.148741684084229
"whole_blood_case_32",0.0676929060351919,0.344181819092322,0.379359635669017,0,0,0,0.20876563920347,0
"whole_blood_case_33",0,0.171686854672492,0.166221374495596,0.425677903107952,0,0,0.23641386772396,0
"whole_blood_case_34",0.174232561565569,0.130309109437061,0.0667930201618775,0,0.141330105204613,0.248564005877099,0.217078512471314,0.0216926852824662
"whole_blood_case_35",0,0,0,0,0,0,0,1
"whole_blood_case_36",0.195739091856799,0,0.0369853263950354,0.441465308200295,0,0.0101007988263286,0,0.315709474721542
"whole_blood_case_37",0.108414414179351,0.0847617082789691,0.192084108680121,0,0,0,0.272834937551935,0.341904831309624
"whole_blood_case_38",0.0307965270619292,0,0,0,0.397703314700766,0.571500158237305,0,0
"whole_blood_case_39",0.26684240162352,0.00772686910796924,0,0.23141925553207,0,0,0.0879073502586531,0.406104123477787
"whole_blood_case_4",0.293442164139365,0.256258615281852,0,0,0.245352870312441,0.204946350266342,0,0
"whole_blood_case_40",0.456832543053333,0.263622236115537,0.188802136260575,0,0,0,0.0907430845705556,0
"whole_blood_case_41",0,0,0,0,0,0,0,0
"whole_blood_case_42",0,0,0,0,0.176897415624431,0,0.0558443512112969,0.767258233164272
"whole_blood_case_43",0,0,0,0,0.26335778847207,0.545378367410616,0,0.191263844117313
"whole_blood_case_44",0.332913731601693,0.145021270965025,0,0.330119312426043,0.0490482396206054,0.0845354267207177,0,0.0583620186659164
"whole_blood_case_45",0.213452135822908,0.207681530477513,0,0.57886633369958,0,0,0,0
"whole_blood_case_46",0,0,0,0,0.101158072061969,0.472160527247255,0.0663110688687233,0.360370331822053
"whole_blood_case_47",0,0,0,0.197455107406448,0.148548380457813,0.489611094035614,0,0.164385418100125
"whole_blood_case_48",0.0150954469408842,0,0,0,0.164182080215131,0.223824463006327,0.137950219269586,0.458947790568072
"whole_blood_case_49",0,0,0,0.572797376944236,0,0.145464970804385,0,0.281737652251379
"whole_blood_case_5",0,0,0.878753860580492,0,0.121246139419508,0,0,0
"whole_blood_case_50",0,0,0,0.168413471809357,0.131121168777343,0.341449317157099,0,0.359016042256201
"whole_blood_case_51",0.0255550342653137,0,0,0,0.387386989431336,0.587057976303351,0,0
"whole_blood_case_52",0.458977276211138,0.404383948006076,0.0694820130200695,0,0,0.0671567627627162,0,0
"whole_blood_case_53",0,0,0.299976069389663,0.244685885263069,0.0729916252018383,0.302514582588668,0,0.0798318375567622
"whole_blood_case_54",0,0.508971432842256,0,0,0,0,0.0903313251577888,0.400697241999955
"whole_blood_case_55",0.416933330623571,0,0,0,0.289347712916318,0.293718956460111,0,0
"whole_blood_case_56",0.300738830438873,0.275997760796093,0.122348699027831,0,0.300914709737204,0,0,0
"whole_blood_case_57",0,0,0,0.0719647764515125,0.358879274736918,0.413248321064376,0,0.155907627747194
"whole_blood_case_58",0,0,0.242020489454416,0,0,0.547627781201049,0.210351729344535,0
"whole_blood_case_59",1,0,0,0,0,0,0,0
"whole_blood_case_6",0.285140079666129,0.311866464732993,0.0904397316871671,0,0,0,0.157847198631536,0.154706525282175
"whole_blood_case_60",0,0,0.579243901236176,0,0,0,0.37542831871115,0.045327780052674
"whole_blood_case_61",0,0,0,0,0.449459785812605,0.550540214187395,0,0
"whole_blood_case_62",0.158751400864834,0.270569384101697,0.37087869857665,0,0,0,0.199800516456818,0
"whole_blood_case_63",0.0128321418615633,0.120307157639277,0.114141886950686,0.470193204328219,0,0,0.282525609220254,0
"whole_blood_case_64",0,0.629556580947049,0,0.370443419052951,0,0,0,0
"whole_blood_case_65",0,0,0,0,0.472762210968017,0.0246998022123161,0.502537986819667,0
"whole_blood_case_66",0.358300489404533,0,0.249301302783604,0,0,0,0.392398207811863,0
"whole_blood_case_67",0.30977697318556,0.157538536958741,0,0,0,0,0.424936621780563,0.107747868075136
"whole_blood_case_68",0.162227813387399,0.386651445391068,0.300602749837965,0.139097865002944,0,0,0.0114201263806239,0
"whole_blood_case_69",0.137784684298404,0,0,0,0,0,0,0.862215315701596
"whole_blood_case_7",0.238080283275516,0,0.546253891226433,0,0,0,0.20928205759354,0.0063837679045117
"whole_blood_case_70",0,0,0,0,0.250133790163779,0.200571403467559,0.0815359176250904,0.467758888743572
"whole_blood_case_71",0.176071670765028,0.0729444026972275,0.531985482388255,0.00426788018201466,0,0,0.214730563967474,0
"whole_blood_case_72",0.390762653051682,0,0.0747231771213592,0.473069409405063,0,0,0.061444760421896,0
"whole_blood_case_73",0.0394329162145429,0.665529483664817,0.0639409932700212,0,0,0,0.231096606850619,0
"whole_blood_case_74",0,0,0,0.146463708114528,0,0.853536291885472,0,0
"whole_blood_case_75",0,0,0,0,0.399702078601039,0.10759510253936,0.492702818859601,0
"whole_blood_case_76",0,0.11374769934947,0.16807457722164,0.0487538020703488,0,0,0.334202243168933,0.335221678189608
"whole_blood_case_77",0,0.16913728626268,0,0,0,0.595906828804798,0,0.234955884932522
"whole_blood_case_78",0.189938022525594,0,0.51946532005034,0,0.0275089039501139,0,0.0463091415382738,0.216778611935679
"whole_blood_case_79",0.653566170738054,0.327666375064556,0,0,0,0,0.0187674541973901,0
"whole_blood_case_8",0.309404873049543,0,0,0.406272925709903,0.0996765416530399,0,0,0.184645659587514
"whole_blood_case_80",0,0.363303852168403,0,0.352830612804632,0,0.0550021318499079,0,0.228863403177057
"whole_blood_case_81",0,0.589551083537373,0,0,0.108229285075425,0.0347865467866015,0,0.2674330846006
"whole_blood_case_82",0,0,0,0,0.5153706753862,0.401785557383778,0.082843767230022,0
"whole_blood_case_83",0,0.181145277229954,0.235528252444787,0,0.198336032277429,0.0936237345469687,0.29136670350086,0
"whole_blood_case_84",0,0,0.525922538440951,0,0.218580332824088,0,0.18382516278008,0.0716719659548805
"whole_blood_case_85",0,0,0.484040955980451,0,0.237007981533539,0.029571073821187,0.192091331566695,0.0572886570981283
"whole_blood_case_86",0.484880491008194,0,0,0,0.515119508991806,0,0,0
"whole_blood_case_87",1,0,0,0,0,0,0,0
"whole_blood_case_88",0,0,0,0.142460458463805,0,0,0,0.857539541536195
"whole_blood_case_89",0,0,0,0,0.495758273864084,0.141401449540457,0.362840276595459,0
"whole_blood_case_9",0,0.111821424861396,0,0.378553684635347,0.0395221278290428,0.470102762674213,0,0
"whole_blood_case_90",0,0,0,0.137775788977837,0.229441980849306,0.182314162986588,0.050042616207428,0.40042545097884
