"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","Neutrophil","NK","Platelet"
"whole_blood_control_1",0,0.382642224303308,0,0,0,0.263470706427559,0.271330785666763,0.0825562836023697
"whole_blood_control_10",0,0.38774985643145,0,0,0.0274524230388237,0.325192745494862,0.259604975034865,0
"whole_blood_control_11",0,0.330161027321752,0,0,0.128563288410906,0.346101662218946,0.180426887540504,0.0147471345078923
"whole_blood_control_12",0,0.360874430276985,0.0114533039900159,0,0.0534116724069562,0.344463499272753,0.22979709405329,8.23528359136133e-17
"whole_blood_control_13",0,0.290130319087776,0,0,0.112886255994012,0.328830859247198,0.268152565671014,0
"whole_blood_control_14",0,0.424364164927142,0,0,0,0.292181679179532,0.242603862914478,0.0408502929788483
"whole_blood_control_15",0.00835562985518075,0.234853417965724,0.065789656186768,3.94198234345976e-17,0.0724530895695929,0.137392401706551,0.278611065872805,0.202544738843378
"whole_blood_control_16",0,0.345367364087135,0,0.200674099157708,8.12638433760667e-16,0.405966329536777,0.0421918819316229,0.00580032528675545
"whole_blood_control_17",0,0.744859172747027,0,0,0,0.202768895647626,0.052371931605347,0
"whole_blood_control_18",0,0.159480959189053,0,0,0.0370940971200419,0.607316584352656,0.196108359338249,0
"whole_blood_control_19",0,0.743656567488982,0,0,1.97949811465219e-15,0.108160370160468,0.148183062350548,0
"whole_blood_control_2",0,0.534521188454589,0,0,0,0.368275341650939,0.0972034698944724,0
"whole_blood_control_20",0,0.351866383633179,0.0222451954110828,0,0.0607042023776211,0.208124014149396,0.357060204428721,0
"whole_blood_control_21",0,0.257366701246615,0,0,0,0.501028863506297,0.241604435247087,0
"whole_blood_control_22",0,0.528990477020814,0,0,0,0.170546638963485,0.3004628840157,8.55207459107715e-16
"whole_blood_control_23",0,0.484057588743383,0,0,0,0.316298547704223,0.199643863552394,0
"whole_blood_control_24",0,0.183847821354041,0,0,0,0.320933857961001,0.495218320684958,0
"whole_blood_control_25",0,0.133117378998151,0,0,0,0.513553587548179,0.35332903345367,0
"whole_blood_control_26",0,0.282785662462743,0,0,0.0767063086261714,0.335742832428045,0.30476519648304,0
"whole_blood_control_27",0,0.396817221509586,0,0.253185669836543,0,0.349997108653871,7.22076201693405e-16,0
"whole_blood_control_28",0,0.535435378255954,0,0,0,0.161515818387771,0.303048803356275,0
"whole_blood_control_29",0,0.524087311293084,0,0,0,0.321597017850823,0.154315670856093,0
"whole_blood_control_3",0,0.356284397591048,0.0112507224538171,0,0.0700157238796898,0.205106239059461,0.357342917015984,0
"whole_blood_control_30",0,0.161614553233788,0,0.0117408501982345,0.0460343156730225,0.705461764166735,0.0751485167282184,1.2105097849302e-15
"whole_blood_control_31",0,0.503248916141135,0,0,0.00626708185238143,0.122749144496411,0.311347378132477,0.0563874793775959
"whole_blood_control_32",0,0.189133140621978,0,0,0,0.180325957199354,0.598426223060976,0.0321146791176921
"whole_blood_control_33",0,0.435793124618086,0,0,7.74878000443227e-16,0.564206875381913,0,0
"whole_blood_control_34",0,0.531995462274218,0,0,6.87929162972404e-16,0.0962856795360533,0.269252206854657,0.10246665133507
"whole_blood_control_35",0,0.35647771482826,0,0,0.0277267519956365,0.352852079196772,0.139451076736288,0.123492377243044
"whole_blood_control_36",0,0.0135807920977446,0,0,0.00186895383983037,0.276768901660236,0.707781352402188,9.38146022171964e-16
"whole_blood_control_37",0,0.353635121708433,0,0,0.205454719825179,0.273339882489826,0.0712929796272472,0.096277296349315
"whole_blood_control_38",0,0.494770215265868,0,6.94055935508584e-16,0,0.326183025550762,0.179046759183369,0
"whole_blood_control_39",0,0.523531001502747,0,0,1.45702264294083e-15,0.47646899849725,9.10639151838016e-16,0
"whole_blood_control_4",0,0.434074892116682,2.44398420573356e-16,0,9.77593682293422e-16,0.565925107883317,0,0
"whole_blood_control_40",0,0.355259054424398,0,0,0,0.0944591679090974,0.550281777666504,0
"whole_blood_control_41",0.0137640307721972,0.448149191971596,0.0751048685039284,0,0.176655352911601,0.278920409566221,0.0074061462744563,0
"whole_blood_control_42",0,0.288857698114402,0,0,0,0.349198324364146,0.361943977521452,0
"whole_blood_control_43",0,0.342164222702327,0,0,0,0.657835777297673,0,0
"whole_blood_control_44",0.0143787871694407,0.311451445939107,0.0899549823631642,0.0342228333333205,0.14487123940239,0.217441690890371,0.12538814919012,0.0622908717120871
"whole_blood_control_45",0,0.404717272030532,0,0,0,1.33074893021337e-15,0.595282727969467,0
"whole_blood_control_46",0,0.496160102484256,0,0,0,0.158119972524575,0.345719924991169,0
"whole_blood_control_47",0,0.350951844569184,0,0,7.21294847383135e-16,0.32696512520852,0.322083030222295,0
"whole_blood_control_48",0,0.24467877347042,0,0,0,0.198301126588739,0.557020099940841,0
"whole_blood_control_49",0,0.405262413125523,0,0,0,0.283897062291595,0.310840524582882,0
"whole_blood_control_5",0,0.406408301669391,0,0,0,0.103439004599633,0.490152693730976,0
"whole_blood_control_50",0,0.349066670938227,0,0,0,0.237156752689122,0.370487914724595,0.0432886616480556
"whole_blood_control_51",0,0.37038893445242,0.0185241677385276,0,0.00428383640779126,0.212690755483685,0.394112305917576,0
"whole_blood_control_52",0,0.396768267807611,0,0,0,0,0.603231732192389,0
"whole_blood_control_53",0,0.375352486652911,0,0,0.0192405512509561,0.36302650979639,0.202973384882916,0.0394070674168262
"whole_blood_control_54",0,0.347619248152133,0,0,0,0.39540211661994,0.256978635227927,0
"whole_blood_control_55",0,0.234319784047622,0,0,0.0729145327543134,0.31338187028715,0.379383812910915,0
"whole_blood_control_56",0,0.825929098816769,0,0,0,0.0785148131237818,0.095556088059449,0
"whole_blood_control_57",0,0.687026959355433,0,0,0.0182592212627875,0.11491910366885,0.17979471571293,0
"whole_blood_control_58",0,0.172166447693534,0,0,0,0.225955150009705,0.559434569277069,0.0424438330196925
"whole_blood_control_59",0,0.197976541478581,0,0,8.97049338862991e-16,0.39644057329939,0.405582885222028,6.72787004147243e-16
"whole_blood_control_6",0,0.431856690198017,0,0,0,0.419868596871626,0.131187971928685,0.017086741001672
"whole_blood_control_60",0,0.311512232533774,0,0,0.00700392653813455,0.57613907744134,0.105344763486751,0
"whole_blood_control_61",0,0.593507188354595,0,0,0,0.140771390088777,0.265721421556627,0
"whole_blood_control_62",0,0.159481427615386,0,0,1.02438996245221e-15,0.799108612770332,0.0414099596142803,0
"whole_blood_control_63",0,0.16085817997629,0,0,0,0.697397807340888,0.141744012682822,0
"whole_blood_control_64",0,0.255991835278632,0.0273605062654539,0,0,0.449469089363359,0.267178569092555,0
"whole_blood_control_7",0,0.271105944094073,0,0,0,0.340497485149914,0.388396570756013,0
"whole_blood_control_8",0,0.369105307684521,0,0,0.0044714508737879,0.475371158943581,0.151052082498111,0
"whole_blood_control_9",0,0.388983977919374,0,0,0,0.483228550994838,0.0812147771919746,0.0465726938938133
"whole_blood_case_1",0,0.671601261582029,0,0,0,0.328398738417971,0,0
"whole_blood_case_10",0,0.449450374775299,0,0,9.00267039116102e-16,0.263668545629718,0.252053021287975,0.0348280583070073
"whole_blood_case_100",0,0.14792563555175,0,0,0.233052770375746,0.396789787212957,0.123083893842155,0.099147913017393
"whole_blood_case_101",0.0179591794085575,0.326347611136686,0.044674400366907,0,0.199814537720557,0.280274036093665,0.11002962535674,0.0209006099168879
"whole_blood_case_102",0,0.183104867950245,0,0,0,0.0447068477322467,0.772188284317509,0
