"sample","B_cell","CD4_T","CD8_T","Erythroid","Monocyte","NK","Platelet"
"NC1",0,0,0,0.0174858326127285,0,0.431529165180264,0.550985002207007
"NC10",0.140492305709537,0.452295753316451,0.00873272137503938,0,0.398479219598973,0,0
"NC11",0.437448355682554,0.0945520036624937,0.0858368123895949,0,0,0,0.382162828265357
"NC12",0,0,0,0,0,0,0
"NC2",0.465094740867927,0.428373803349102,0,0,0,0,0.106531455782972
"NC3",0.134137873451686,0.159935224914568,0.156411173525016,0.0190913861454018,0,0.33538991655724,0.195034425406088
"NC4",0,0.127422015958946,0.241286291225544,0,0,0.63129169281551,0
"NC5",0.072013753382673,0.433867932562845,0.0385161432697616,0.293557386020395,0.162044784764325,0,0
"NC6",0.142113461531361,0.0418842377844564,0.0917810091103403,0.415619616293252,0.0274504165977907,0.124814236778489,0.156337021904311
"NC7",0,0,0,0.125059397057536,0.345469118067673,0.267774094429116,0.261697390445675
"NC8",0.273684943863238,0.259656333020378,0.245811104899969,0,0.0105206358815019,0.193765968145811,0.0165610141891016
"NC9",0,0.126350667416012,0.394514328295753,0.00653781389105143,0.192648308582368,0.279948881814816,0
"ND1",0,0,0,0,0,0,0
"ND10",0.0982701481287983,0,0,0,0.252279487745607,0,0.649450364125595
"ND2",0,0,0,0,0,0,0
"ND3",1,0,0,0,0,0,0
"ND4",0,0,0,0,0,0,0
"ND5",0,0,0,0,0,0.863062786781133,0.136937213218867
"ND6",0,0,0,0,1,0,0
"ND7",0,0,0,0,0.619140627735118,0,0.380859372264882
"ND8",0,0,0.166185818750249,0.215362338702353,0.618451842547398,0,0
"ND9",0,0,0,0,0,1,0
"probe_mean_signal",0,0,0,0,0,0,1
